id,same_distance,diff_distance
141,0.16677403,0.4446009
142,0.1610941,0.4123419
143,0.14322534,0.45793214
144,0.13468991,0.4553575
145,0.14883119,0.43491098
146,0.1496092,0.40627778
147,0.13793653,0.40553463
148,0.1361063,0.40076298
149,0.1862772,0.42727596
150,0.1390763,0.4159258
151,0.1777309,0.45832607
152,0.1592648,0.468955
153,0.17731398,0.46792695
154,0.17284769,0.4467051
155,0.18168472,0.43819916
156,0.17702179,0.42767432
157,0.17815182,0.43240032
158,0.19135666,0.4391492
159,0.21478508,0.45467257
160,0.21179278,0.4452658
161,0.20340973,0.51198894
162,0.19553673,0.39724684
163,0.22635338,0.44563973
164,0.13887638,0.47230533
165,0.13815294,0.48721617
166,0.16064623,0.42685226
167,0.1466209,0.41738036
168,0.12971304,0.47804976
169,0.16053206,0.44376934
170,0.24517326,0.39944208
171,0.25136897,0.44231373
172,0.248163,0.46632954
173,0.24939482,0.49152327
174,0.1663532,0.47840178
175,0.12979592,0.46651083
176,0.18663044,0.43620425
177,0.16803008,0.41711995
178,0.18286501,0.43128762
179,0.18391988,0.3545791
180,0.1697134,0.44135976
181,0.17879172,0.4005257
182,0.17067099,0.3836657
183,0.18782406,0.4316961
184,0.18976492,0.3821864
185,0.21898858,0.4626862
186,0.17754145,0.38659355
187,0.27008882,0.45852193
188,0.1614358,0.35230666
189,0.16468833,0.36771354
190,0.16702422,0.40955186
191,0.11750327,0.44727287
192,0.10048443,0.4692635
193,0.07142006,0.44987714
194,0.14389329,0.40704098
195,0.15645793,0.43296438
196,0.16357265,0.43445322
197,0.122212894,0.46721634
198,0.20382541,0.40522748
199,0.1809234,0.42177206
200,0.16873221,0.40639567
201,0.139344,0.45975354
202,0.1376378,0.446003
203,0.17415123,0.48671895
204,0.17503287,0.4226696
205,0.1740437,0.4446505
206,0.17065899,0.425803
207,0.15674506,0.46006665
208,0.1628893,0.46693072
209,0.13998413,0.47478423
210,0.14936058,0.46191722
211,0.13414852,0.42233974
212,0.17386428,0.4231811
213,0.13303725,0.43718648
214,0.16000958,0.44602045
215,0.15186243,0.44363886
216,0.18424894,0.4517124
217,0.18700333,0.4361108
218,0.1896881,0.43986273
219,0.17845877,0.4499742
220,0.20032427,0.42461288
221,0.20130622,0.43073282
222,0.22105047,0.5024679
223,0.21566291,0.5081057
224,0.20920096,0.523164
225,0.204608,0.4804733
226,0.22745611,0.48201138
227,0.1516309,0.4871294
228,0.14526205,0.49724257
229,0.15579134,0.47812983
230,0.14438024,0.5283991
231,0.13671708,0.47851723
232,0.15423872,0.50182873
233,0.23013315,0.48300254
234,0.2348256,0.48404244
235,0.22257245,0.48330972
236,0.23054056,0.49076483
237,0.16253,0.45179713
238,0.14417356,0.44078276
239,0.19307463,0.44630194
240,0.18069936,0.41819045
241,0.1992187,0.4610888
242,0.19857797,0.4802236
243,0.18276072,0.4719285
244,0.19014609,0.45522454
245,0.18314044,0.5061044
246,0.19395357,0.5440781
247,0.17793947,0.49680206
248,0.19914131,0.5295608
249,0.15567248,0.5467608
250,0.24297936,0.5536264
251,0.15943193,0.48954487
252,0.15649933,0.4993744
253,0.17356963,0.51061755
254,0.09118303,0.44557145
255,0.09433877,0.4355945
256,0.07142006,0.38352767
257,0.15889181,0.44830245
258,0.15897432,0.42045975
259,0.167268,0.4320178
260,0.12695229,0.44063157
261,0.19744337,0.41808414
262,0.17222276,0.48654118
263,0.17004259,0.5155854
264,0.14490123,0.4798224
265,0.15642954,0.44779342
266,0.15857537,0.45238736
267,0.15619011,0.4595576
268,0.15271273,0.44800502
269,0.1528691,0.47358444
270,0.14174065,0.4648277
271,0.14945836,0.45903492
272,0.16412593,0.47711954
273,0.1541142,0.47675908
274,0.15210168,0.4715018
275,0.18239564,0.46455076
276,0.15474099,0.4470087
277,0.16861488,0.4504238
278,0.16089661,0.46608773
279,0.18364443,0.45253667
280,0.17788473,0.4474993
281,0.18217757,0.4504073
282,0.17775694,0.44951522
283,0.20003287,0.42898127
284,0.21286996,0.4380917
285,0.23700845,0.4250872
286,0.23031855,0.44135904
287,0.22482958,0.44320485
288,0.21517415,0.4340769
289,0.23923117,0.45318475
290,0.16000623,0.4531666
291,0.15246831,0.45153952
292,0.16657948,0.43984303
293,0.16001159,0.4527914
294,0.14330009,0.44715148
295,0.16866985,0.4741248
296,0.23603025,0.44623694
297,0.23992988,0.44457233
298,0.23561695,0.43775094
299,0.23799978,0.45782933
300,0.17022419,0.40833881
301,0.15281892,0.42012516
