id,FPR,ROC,line
504,0.0062770261,0.96844793,0.9937229739
505,0.0062770261,0.96844793,0.9937229739
506,0.006304924,0.9686303119,0.993695076
507,0.0063328219,0.9689950757,0.9936671781
508,0.0063607198,0.9689950757,0.9936392802
509,0.0064723113,0.9689950757,0.9935276887
510,0.0065281071,0.9693598395,0.9934718929
511,0.0066118008,0.9695422214,0.9933881992
512,0.0066118008,0.9697246033,0.9933881992
513,0.0066675966,0.9699069852,0.9933324034
514,0.0067233924,0.9700893671,0.9932766076
515,0.0067512903,0.970271749,0.9932487097
516,0.0068070861,0.970454131,0.9931929139
517,0.0068907797,0.9708188948,0.9931092203
518,0.0069744734,0.9710012767,0.9930255266
519,0.0069744734,0.9711836586,0.9930255266
520,0.0069744734,0.9711836586,0.9930255266
521,0.0070023713,0.9711836586,0.9929976287
522,0.0071139629,0.9711836586,0.9928860371
523,0.0071139629,0.9713660405,0.9928860371
524,0.0071697587,0.9713660405,0.9928302413
525,0.0072534524,0.9715484224,0.9927465476
526,0.0073650439,0.9715484224,0.9926349561
527,0.0074487376,0.9717308043,0.9925512624
528,0.0075324313,0.9717308043,0.9924675687
529,0.0075324313,0.9717308043,0.9924675687
530,0.0075603292,0.9717308043,0.9924396708
531,0.0075882271,0.9717308043,0.9924117729
532,0.0075882271,0.9717308043,0.9924117729
533,0.0077277166,0.9717308043,0.9922722834
534,0.0077556145,0.9719131862,0.9922443855
535,0.0077835123,0.9720955681,0.9922164877
536,0.0078393081,0.97227795,0.9921606919
537,0.0079230018,0.9724603319,0.9920769982
538,0.0079230018,0.9724603319,0.9920769982
539,0.0079787976,0.9724603319,0.9920212024
540,0.0079787976,0.9726427138,0.9920212024
541,0.008146185,0.9728250958,0.991853815
542,0.0081740829,0.9728250958,0.9918259171
543,0.0083693681,0.9728250958,0.9916306319
544,0.0084251639,0.9730074777,0.9915748361
545,0.0084251639,0.9733722415,0.9915748361
546,0.0084251639,0.9733722415,0.9915748361
547,0.0084530618,0.9733722415,0.9915469382
548,0.0084809597,0.9737370053,0.9915190403
549,0.0085646534,0.9739193872,0.9914353466
550,0.0085925513,0.9744665329,0.9914074487
551,0.0087041428,0.9744665329,0.9912958572
552,0.0087041428,0.9744665329,0.9912958572
553,0.0087599386,0.9746489148,0.9912400614
554,0.0088994281,0.9748312967,0.9911005719
555,0.0089831218,0.9748312967,0.9910168782
556,0.0090110197,0.9750136786,0.9909889803
557,0.0090668155,0.9750136786,0.9909331845
558,0.0090668155,0.9750136786,0.9909331845
559,0.0090947133,0.9750136786,0.9909052867
560,0.0091505091,0.9753784425,0.9908494909
561,0.0092063049,0.9753784425,0.9907936951
562,0.0092621007,0.9753784425,0.9907378993
563,0.0093178965,0.9753784425,0.9906821035
564,0.0094294881,0.9757432063,0.9905705119
565,0.009457386,0.9757432063,0.990542614
566,0.0095131818,0.9759255882,0.9904868182
567,0.0095689775,0.9761079701,0.9904310225
568,0.0096805691,0.9761079701,0.9903194309
569,0.0097642628,0.9766551158,0.9902357372
570,0.0099037523,0.9766551158,0.9900962477
571,0.0099316502,0.9766551158,0.9900683498
572,0.0099595481,0.9766551158,0.9900404519
573,0.0100432417,0.9770198796,0.9899567583
574,0.0102106291,0.9772022615,0.9897893709
575,0.0102664249,0.9772022615,0.9897335751
576,0.0103780165,0.9775670254,0.9896219835
577,0.0104059144,0.9775670254,0.9895940856
578,0.0105175059,0.9775670254,0.9894824941
579,0.0105733017,0.9775670254,0.9894266983
580,0.0106290975,0.9777494073,0.9893709025
581,0.0106569954,0.9777494073,0.9893430046
582,0.0107406891,0.9777494073,0.9892593109
583,0.010768587,0.9777494073,0.989231413
584,0.0108522807,0.9777494073,0.9891477193
585,0.0109080764,0.9777494073,0.9890919236
586,0.0109638722,0.9777494073,0.9890361278
587,0.0110754638,0.9777494073,0.9889245362
588,0.0111312596,0.9779317892,0.9888687404
589,0.0112707491,0.9781141711,0.9887292509
590,0.011298647,0.978296553,0.988701353
591,0.0114102385,0.978296553,0.9885897615
592,0.0114939322,0.9788436987,0.9885060678
593,0.0115776259,0.9788436987,0.9884223741
594,0.0116334217,0.9795732263,0.9883665783
595,0.0117729111,0.9797556082,0.9882270889
596,0.011800809,0.9797556082,0.988199191
597,0.0118566048,0.9797556082,0.9881433952
598,0.0118566048,0.9797556082,0.9881433952
599,0.0120239922,0.9801203721,0.9879760078
600,0.012079788,0.9804851359,0.987920212
601,0.012330869,0.9804851359,0.987669131
602,0.0123587669,0.9806675178,0.9876412331
603,0.0124982564,0.9806675178,0.9875017436
604,0.0125819501,0.9806675178,0.9874180499
605,0.0126935416,0.9808498997,0.9873064584
606,0.0127493374,0.9808498997,0.9872506626
607,0.012860929,0.9808498997,0.987139071
608,0.0128888269,0.9810322816,0.9871111731
609,0.0129167248,0.9810322816,0.9870832752
610,0.0129167248,0.9810322816,0.9870832752
611,0.0129725206,0.9810322816,0.9870274794
612,0.0130004185,0.9812146635,0.9869995815
613,0.0131957037,0.9812146635,0.9868042963
614,0.0132236016,0.9812146635,0.9867763984
