id,FPR_log,DET_log
402,-5.5743044806,-3.1163462321
403,-5.5743044806,-3.1163462321
404,-5.5669784405,-3.1204699492
405,-5.5669784405,-3.1204699492
406,-5.5597056811,-3.1204699492
407,-5.5597056811,-3.1204699492
408,-5.5524854332,-3.1204699492
409,-5.5453169437,-3.1204699492
410,-5.5311323087,-3.1246107419
411,-5.524114736,-3.1287687521
412,-5.524114736,-3.1329441235
413,-5.5171460667,-3.1371370017
414,-5.5102256239,-3.1371370017
415,-5.4965267795,-3.1413475343
416,-5.4965267795,-3.1455758704
417,-5.4897470925,-3.1455758704
418,-5.4830130603,-3.1498221613
419,-5.4830130603,-3.1583692218
420,-5.4830130603,-3.1626703037
421,-5.4696795295,-3.1626703037
422,-5.4696795295,-3.1626703037
423,-5.4696795295,-3.1626703037
424,-5.4696795295,-3.1626703037
425,-5.4696795295,-3.1669899649
426,-5.4500067639,-3.1669899649
427,-5.437103359,-3.1669899649
428,-5.4243643333,-3.1669899649
429,-5.4180551641,-3.1713283665
430,-5.4117855511,-3.1756856718
431,-5.4055550013,-3.1800620464
432,-5.4055550013,-3.1800620464
433,-5.4055550013,-3.1800620464
434,-5.4055550013,-3.1844576579
435,-5.4055550013,-3.1888726761
436,-5.3932091655,-3.1933072732
437,-5.3810138924,-3.1977616235
438,-5.3810138924,-3.1977616235
439,-5.3810138924,-3.1977616235
440,-5.3749715779,-3.2022359039
441,-5.3749715779,-3.2022359039
442,-5.3749715779,-3.2022359039
443,-5.3629953869,-3.2067302935
444,-5.3511609292,-3.2112449739
445,-5.3511609292,-3.2112449739
446,-5.3511609292,-3.2112449739
447,-5.3452958098,-3.2112449739
448,-5.3452958098,-3.2112449739
449,-5.3336677718,-3.2112449739
450,-5.3336677718,-3.2249126126
451,-5.3279040671,-3.2249126126
452,-5.3221733924,-3.2341292677
453,-5.3164753712,-3.2341292677
454,-5.3164753712,-3.2387696473
455,-5.305175816,-3.2481155097
456,-5.305175816,-3.2575495419
457,-5.305175816,-3.2815315066
458,-5.288462335,-3.2815315066
459,-5.288462335,-3.2962016964
460,-5.2774732134,-3.301139978
461,-5.2720236087,-3.301139978
462,-5.2720236087,-3.3061027673
463,-5.2666035412,-3.3110903089
464,-5.2666035412,-3.3110903089
465,-5.2612126926,-3.3211406447
466,-5.2612126926,-3.3211406447
467,-5.2612126926,-3.3211406447
468,-5.2612126926,-3.3312930162
469,-5.2558507494,-3.3364081168
470,-5.2558507494,-3.3364081168
471,-5.2399352941,-3.3415495163
472,-5.2399352941,-3.3415495163
473,-5.2346859382,-3.3415495163
474,-5.2294639943,-3.3467174865
475,-5.2294639943,-3.3571342474
476,-5.2294639943,-3.3623836032
477,-5.2242691774,-3.3623836032
478,-5.2191012072,-3.3623836032
479,-5.2139598077,-3.3676606603
480,-5.2088447071,-3.3676606603
481,-5.2088447071,-3.3782990585
482,-5.2088447071,-3.3782990585
483,-5.1886419997,-3.3782990585
484,-5.1836544582,-3.3836610017
485,-5.1836544582,-3.3836610017
486,-5.1737533872,-3.3890518503
487,-5.1688393724,-3.3944719178
488,-5.1590831975,-3.4054009883
489,-5.154240573,-3.4054009883
490,-5.154240573,-3.4164508245
491,-5.1446251143,-3.4164508245
492,-5.1446251143,-3.4164508245
493,-5.1446251143,-3.4164508245
494,-5.1398518356,-3.4220218696
495,-5.1303730916,-3.4220218696
496,-5.1070620127,-3.4276241251
497,-5.1024643035,-3.4276241251
498,-5.0933318199,-3.4389236804
499,-5.0797875948,-3.4389236804
500,-5.0753133144,-3.4446217015
501,-5.0708589641,-3.4561160809
502,-5.0708589641,-3.4561160809
503,-5.0708589641,-3.4561160809
504,-5.0708589641,-3.4561160809
505,-5.066424367,-3.4619131986
506,-5.0620093488,-3.4736092384
507,-5.0576137373,-3.4736092384
508,-5.0402219946,-3.4736092384
509,-5.0316382509,-3.485443696
510,-5.0188992252,-3.491413863
511,-5.0188992252,-3.497419887
512,-5.0104958144,-3.5034622015
513,-5.0021624328,-3.5095412476
514,-4.9980216401,-3.5156574746
515,-4.989791141,-3.5218113402
516,-4.9775710297,-3.5342338602
517,-4.9654984484,-3.5405034732
518,-4.9654984484,-3.5468126424
519,-4.9654984484,-3.5468126424
520,-4.9615064272,-3.5468126424
521,-4.9456958211,-3.5468126424
522,-4.9456958211,-3.5531618701
523,-4.9378832814,-3.5531618701
524,-4.9262777353,-3.5595516682
525,-4.9110102631,-3.5595516682
526,-4.8997107079,-3.5659825585
527,-4.8885374073,-3.5659825585
528,-4.8885374073,-3.5659825585
529,-4.8848405454,-3.5659825585
530,-4.8811573,-3.5659825585
531,-4.8811573,-3.5659825585
532,-4.8629418601,-3.5659825585
533,-4.8593382526,-3.572455073
534,-4.8557475845,-3.578969754
535,-4.848604697,-3.5855271546
536,-4.8379851281,-3.5921278386
537,-4.8379851281,-3.5921278386
538,-4.8309675555,-3.5921278386
539,-4.8309675555,-3.5987723813
540,-4.810205564,-3.6054613695
541,-4.8067867573,-3.6054613695
542,-4.7831768916,-3.6054613695
543,-4.7765323489,-3.6121954016
544,-4.7765323489,-3.6258010537
545,-4.7765323489,-3.6258010537
546,-4.7732265608,-3.6258010537
547,-4.7699316649,-3.6395943758
548,-4.7601116187,-3.6465630451
549,-4.7568595833,-3.6677652528
550,-4.7439561785,-3.6677652528
551,-4.7439561785,-3.6677652528
552,-4.7375663804,-3.6749337423
553,-4.7217682635,-3.6821539902
554,-4.7124078207,-3.6821539902
555,-4.7093070431,-3.6894267496
556,-4.703134184,-3.6894267496
557,-4.703134184,-3.6894267496
558,-4.7000619849,-3.6894267496
559,-4.6939457579,-3.704132897
560,-4.6878667118,-3.704132897
561,-4.6818243974,-3.704132897
562,-4.6758183733,-3.704132897
563,-4.6639134708,-3.7190585472
564,-4.6609592589,-3.7190585472
565,-4.655076889,-3.7266057528
566,-4.6492289191,-3.7342103522
567,-4.6376345863,-3.7342103522
568,-4.6290262118,-3.7573774115
569,-4.6148415768,-3.7573774115
570,-4.6120286354,-3.7573774115
571,-4.6092235845,-3.7573774115
572,-4.6008553348,-3.7731257685
573,-4.5843260329,-3.7810939381
574,-4.5788764281,-3.7810939381
575,-4.568065512,-3.79722332
576,-4.5653809466,-3.79722332
577,-4.5547141788,-3.79722332
578,-4.5494231612,-3.79722332
579,-4.5441599912,-3.8053866307
580,-4.5415387577,-3.8053866307
581,-4.533716032,-3.8053866307
582,-4.5311219968,-3.8053866307
